Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | March Current Population Survey | …collects data from a different sample of households each year and thus cannot be used to track progress of individual households over time. Instead view how families of a similar financial status compare with each other over time. | [('…collects', 'NNS'), ('data', 'NNS'), ('from', 'IN'), ('a', 'DT'), ('different', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('households', 'NNS'), ('each', 'DT'), ('year', 'NN'), ('and', 'CC'), ('thus', 'RB'), ('can', 'MD'), ('not', 'RB'), ('be', 'VB'), ('used', 'VBN'), ('to', 'TO'), ('track', 'VB'), ('progress', 'NN'), ('of', 'IN'), ('individual', 'JJ'), ('households', 'NNS'), ('over', 'IN'), ('time', 'NN'), ('.', '.'), ('Instead', 'RB'), ('view', 'VB'), ('how', 'WRB'), ('families', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('similar', 'JJ'), ('financial', 'JJ'), ('status', 'NN'), ('compare', 'NN'), ('with', 'IN'), ('each', 'DT'), ('other', 'JJ'), ('over', 'IN'), ('time', 'NN'), ('.', '.')]
Dataset | March Current Population Survey | …offers detailed individual level information on each person's veteran status and lists their service era if relavant, while also providing detailed self-reported information on numerous components of unearned income, including benefits from the Veterans Administration, Social Security and all other retirement and disability income. | [('…offers', 'NNS'), ('detailed', 'VBD'), ('individual', 'JJ'), ('level', 'NN'), ('information', 'NN'), ('on', 'IN'), ('each', 'DT'), ('person', 'NN'), ("'s", 'POS'), ('veteran', 'NN'), ('status', 'NN'), ('and', 'CC'), ('lists', 'VBZ'), ('their', 'PRP$'), ('service', 'NN'), ('era', 'NN'), ('if', 'IN'), ('relavant', 'JJ'), (',', ','), ('while', 'IN'), ('also', 'RB'), ('providing', 'VBG'), ('detailed', 'JJ'), ('self-reported', 'JJ'), ('information', 'NN'), ('on', 'IN'), ('numerous', 'JJ'), ('components', 'NNS'), ('of', 'IN'), ('unearned', 'JJ'), ('income', 'NN'), (',', ','), ('including', 'VBG'), ('benefits', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Veterans', 'NNPS'), ('Administration', 'NNP'), (',', ','), ('Social', 'NNP'), ('Security', 'NNP'), ('and', 'CC'), ('all', 'DT'), ('other', 'JJ'), ('retirement', 'NN'), ('and', 'CC'), ('disability', 'NN'), ('income', 'NN'), ('.', '.')]
Dataset | March Current Population Survey | …as a source of earnings and employment data covering the years 1967-1997 | [('…as', 'VB'), ('a', 'DT'), ('source', 'NN'), ('of', 'IN'), ('earnings', 'NNS'), ('and', 'CC'), ('employment', 'NN'), ('data', 'NNS'), ('covering', 'VBG'), ('the', 'DT'), ('years', 'NNS'), ('1967-1997', 'JJ')]
Dataset | March Current Population Survey | …1,240 observations that differ by 40 single years of age, 25-64, and 31 year, 1967-1997. | [('…1,240', 'JJ'), ('observations', 'NNS'), ('that', 'WDT'), ('differ', 'VBP'), ('by', 'IN'), ('40', 'CD'), ('single', 'JJ'), ('years', 'NNS'), ('of', 'IN'), ('age', 'NN'), (',', ','), ('25-64', 'JJ'), (',', ','), ('and', 'CC'), ('31', 'CD'), ('year', 'NN'), (',', ','), ('1967-1997', 'JJ'), ('.', '.')]
Dataset | Occupational Change in a Generation survey | …to construct a rough estimate of the risk of military service for men who had obtained a college degree prior to service relative to those who had not. | [('…to', 'JJ'), ('construct', 'NN'), ('a', 'DT'), ('rough', 'JJ'), ('estimate', 'NN'), ('of', 'IN'), ('the', 'DT'), ('risk', 'NN'), ('of', 'IN'), ('military', 'JJ'), ('service', 'NN'), ('for', 'IN'), ('men', 'NNS'), ('who', 'WP'), ('had', 'VBD'), ('obtained', 'VBN'), ('a', 'DT'), ('college', 'NN'), ('degree', 'NN'), ('prior', 'RB'), ('to', 'TO'), ('service', 'VB'), ('relative', 'JJ'), ('to', 'TO'), ('those', 'DT'), ('who', 'WP'), ('had', 'VBD'), ('not', 'RB'), ('.', '.')]
Dataset | October Current Population Survey | Source of enrollment rates for each birth cohort from 1935 to 1959. | [('Source', 'NN'), ('of', 'IN'), ('enrollment', 'NN'), ('rates', 'NNS'), ('for', 'IN'), ('each', 'DT'), ('birth', 'NN'), ('cohort', 'NN'), ('from', 'IN'), ('1935', 'CD'), ('to', 'TO'), ('1959', 'CD'), ('.', '.')]
Dataset | 1990 Census Micro-Data | Source of college graduation rates and some-college rates. | [('Source', 'NN'), ('of', 'IN'), ('college', 'NN'), ('graduation', 'NN'), ('rates', 'NNS'), ('and', 'CC'), ('some-college', 'JJ'), ('rates', 'NNS'), ('.', '.')]
Dataset | October Current Population Survey | Active military servicemen are excluded from this dataset explaining a difference in the likelihood of enrollment at ages 20 and 21 and a likelihood of obtaining some college. | [('Active', 'JJ'), ('military', 'JJ'), ('servicemen', 'NNS'), ('are', 'VBP'), ('excluded', 'VBN'), ('from', 'IN'), ('this', 'DT'), ('dataset', 'NN'), ('explaining', 'VBG'), ('a', 'DT'), ('difference', 'NN'), ('in', 'IN'), ('the', 'DT'), ('likelihood', 'NN'), ('of', 'IN'), ('enrollment', 'NN'), ('at', 'IN'), ('ages', 'NNS'), ('20', 'CD'), ('and', 'CC'), ('21', 'CD'), ('and', 'CC'), ('a', 'DT'), ('likelihood', 'NN'), ('of', 'IN'), ('obtaining', 'VBG'), ('some', 'DT'), ('college', 'NN'), ('.', '.')]
Dataset | October Current Population Survey | …has an upward bias in the enrollment rate during the Vietnam War due to the fraction of young men in the military being higher than average | [('…has', 'VB'), ('an', 'DT'), ('upward', 'JJ'), ('bias', 'NN'), ('in', 'IN'), ('the', 'DT'), ('enrollment', 'NN'), ('rate', 'NN'), ('during', 'IN'), ('the', 'DT'), ('Vietnam', 'NNP'), ('War', 'NNP'), ('due', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('fraction', 'NN'), ('of', 'IN'), ('young', 'JJ'), ('men', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('military', 'JJ'), ('being', 'VBG'), ('higher', 'JJR'), ('than', 'IN'), ('average', 'NN')]
Dataset | Occupational Change in a Generation survey | …provides insight on similarities over time of educational attainment for veterans before and after service. | [('…provides', 'NNS'), ('insight', 'VBP'), ('on', 'IN'), ('similarities', 'NNS'), ('over', 'IN'), ('time', 'NN'), ('of', 'IN'), ('educational', 'JJ'), ('attainment', 'NN'), ('for', 'IN'), ('veterans', 'NNS'), ('before', 'IN'), ('and', 'CC'), ('after', 'IN'), ('service', 'NN'), ('.', '.')]
